id,name,x,y,z,rate,type,property
1,Douro,-8.74,41.11,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
2,Guadalquivir,-6.5,36.76,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
3,Guadiana,-7.4,37.09,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
4,Leyre,-1.88,44.61,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
5,Minho,-9,41.64,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
6,Mondego,-9,40.17,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
7,Sado,-8.99,38.35,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
8,Tagus,-9.34,38.58,0.5,0.001,plastic-plastic-paper,heavy-light-medium
9,Ulla,-9,42.42,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
10,Eo,-6.99,43.75,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
11,Esva,-6.49,43.65,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
12,Nalon,-6.07,43.67,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
13,Sella,-5.05,43.56,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
14,Deva-Cares,-4.48,43.48,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
15,Nansa,-4.44,43.48,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
16,Saja-Besaya,-4.06,43.55,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
17,Pas,-4.01,43.51,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
18,Miera,-3.75,43.55,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
19,Ason,-3.42,43.48,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
20,Nervion,-3.08,43.48,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
21,Urumea,-2,43.48,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
22,Bidasoa,-1.75,43.47,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
23,Guadalete,-6.33,36.56,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
24,Barbate,-5.93,36.14,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
25,Guadiaro,-5.21,36.28,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
26,Guadahorce,-4.43,36.66,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
27,Guadalfeo,-3,36.71,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
28,Andarax,-2.47,36.81,0.5,0.0001,plastic-plastic-paper,heavy-light-medium
